Muestra,Localidad,Utilidad,Donado,Id,Tipo,URL
Barita,"Maztlan, Sinaloa",Perforacion de pozos petroleros,,31,Sulfatos,image75.png
Barita,"Mazatlan, Sonora",Densificante en Fluidos de Perforacion ,,31,Sulfatos,image76.png
Barita,Sonora,"Fabricacion de tintas, papel.",,31,Sulfatos,image77.png
Barita,Coahuila,Mena principal de bario ,,31,Sulfatos,image78.png
Barita,Coahulia,Densificar Fluidos de Perforaciones,,31,Sulfatos,image79.png
Barita,Jalisco,,,31,Sulfatos,image80.png
Barita,"Hidalgo de Parral, Chihuahua",,,31,Sulfatos,image81.png
Barita,"Axochiapan, Morelos","Gangas, Filonianas",,31,Sulfatos,image82.png
Barita Inclusiones de blenda,"Silacoyoapan, Oaxaca",,,31,Sulfatos,image83.png
Basalto con cuarzo,,,,32,,image84.png
Basalto vesicular,"Zapopan, Jal",,,32,,image85.png
Bauxita,"Tenejapa, Chiapas","Materia prima para la obtención del aluminio, Abrasivo.",,33,,image86.png
Bauxita,"Tenejapa, Chiapas",,,33,,image87.png
Berilio,,,,34,Silicatos,image88.png
Berilio,San Andrés Nuxiño,"Industria Nuclear, Aeronáutica, Lámparas de rayos X",,34,Silicatos,image89.png
Berilio,,Mena de metal,,34,Silicatos,image90.png
Betafita,,,,35,,image91.png
Biotita,"Zimatlan, Oax",,,36,Silicatos,image92.png
Biotita,Edo. de Chihuahua,,,36,Silicatos,image93.png
Blenda Galena Pirita,"Fresnillo, Zacatecas",,,37,,image94.png
"Blenda, Calcopirita","Tahuehueto, Durango","Mena de Zn, Mena de Cu",,37,,image95.png
"Blenda, Pirita, Galena, Argentifera","Mina Sta. Francisca Tepeaca, Aguascalientes","Mena de Zinc, Obtención de ácido sulfurico",,37,,image96.png
Bornita,"Guanjauto, Gto.",,,38,Sulfuros,image97.png
Bornita,,Mena de Cobre,,38,Sulfuros,image98.png
Bornita,"Concepcion del Oro, Zacatecas",Mena de Cobre,,38,Sulfuros,image99.png
Bornita,Concepción del oro Zacatecas,Mena de Cobre,,38,Sulfuros,image100.png
Bornita,,Mena del cobre,,38,Sulfuros,image101.png
"Bornita, Calcopirita","Zirandaro, Guanajuato",Mena de cobra,,38,Sulfuros,image102.png
"Bornita, Calcopirita","Zirandaro, Guerrero",,,38,Sulfuros,image103.png
"Bornita, Calcopirita","Guanajuato, Gto.",,,38,Sulfuros,image104.png
Braunita,,Mena de Zn,,39,Oxidos,image1.png
"Brecha Hidrotermal, presenta Cuarzo, Calcita, Pirita, Acantita","San José del Progreso, Oaxaca",,,40,Silicatos,image105.png
Brecha Policnitica,Tepotzotlan,,,40,,image106.png
Calcedonia,"San Miguel Allende, Guanajuato",Gemologia,,41,Silicatos,image107.png
Calcedonia,,Industria y tintes naturales,,41,Silicatos,image108.png
Calcedonia,"Cordoba, Argentina",Material de adorno,,41,Silicatos,image109.png
Calcedonia,,,,41,Silicatos,image110.png
Calcedonia,"Tepic, Nayarit",Elaboración de joyas,,41,Silicatos,image111.png
Calcedonia,Durango,Elaboración de joyas,,41,Silicatos,image112.png
Calcedonia,"Tepic, Nayarit",Gemología,,41,Silicatos,image113.png
Calcira - Cinabrio,"Mina peregrino, guanajuato",Fuente importante de mercurio,,42,Otros,image114.png
Calcita,Hidalgo,Ornamental,Ing. Julio Eduardo Morales de la Garza,43,Silicatos,image115.png
Calcita,"Tlapluagua, Mich",,,43,Silicatos,image116.png
Calcita,Mapmi,,,43,Silicatos,image117.png
Calcita,"Taxco, Guerrero",,ing. Fernando Rodriguez,43,Silicatos,image118.png
Calcita,"Ciudad Valles, San Luis Potosi",,ing. Fernando Rodriguez,43,Silicatos,image119.png
Calcita,"Zacatecas, Zacatecas",Para tallar esculturas,,43,Silicatos,image120.png
Calcita,Republica de francia,,,43,Silicatos,image121.png
Calcita,"Zimapán, Hidalgo",Utilización para fabricar cementos y morteros,,43,Silicatos,image122.png
Calcita,"Zimapán, Hidalgo",Utilización para fabricar cementos y morteros,,43,Silicatos,image123.png
Calcita,Sinaloa (Badiraguato),"Construccion, Abono",,43,Silicatos,image124.png
Calcita,Michoacan (Tepacaltepec),Para la industria óptica,,43,Silicatos,image125.png
Calcita,"Santa Rosa, Zacatecas",Obtencion de Cal,,43,Silicatos,image126.png
Calcita,"Charcas, S.L.P.",Fabricar cementos y morteros,,43,Silicatos,image127.png
Calcita,Mina la domitila,Materiales ceramicos,,43,Silicatos,image128.png
Calcita,"Charcas, S.L.P.","Para fabricar cementos y morteros, uso como piedras de construccion ",,43,Silicatos,image129.png
Calcita,,,,43,Silicatos,image130.png
Calcita,Sinaloa (Badiraguato),"Construccion, Abono",,43,Silicatos,image131.png
Calcita,Michoacan (Tepacaltepec),Para la industria optica,,43,Silicatos,image132.png
Calcita,,,,43,Silicatos,image133.png
Calcita,"Bandiraguato, Sinaloa",,,43,Silicatos,image134.png
Calcita,,,,43,Silicatos,image135.png
Calcita,"Santa Barbara, Chihuahua","Fabricar cementos y morteros, construcción",,43,Silicatos,image136.png
Calcita ,"Santa Rosa, Zacatecas",Obtencion de la cal,,43,Silicatos,image137.png
"Calcita ""Utopia"" ",Guerrero,,ing. Fernando Rodriguez,43,Silicatos,image138.png
Calcita con cuarzo ,"Taxco, Guerrero",,ing. Fernando Rodriguez,43,Silicatos,image139.png
Calcita con cuarzo ,"Natividad Ixtlan, Oaxaca","Construccion de edificaciones, Ornamental",,43,Silicatos,image140.png
Calcita Epidota,Michoacan ,Para fabricar cementos y morteros,,43,Silicatos,image141.png
Calcita Fosilifera,,,,43,Silicatos,image142.png
Calcita Optica ,"Barranca del cobre, Estado de Chihuahua",,,43,Silicatos,image143.png
Calcita Optica ,"Barranca del cobre, Chihuahua",,,43,Silicatos,image144.png
Calcita sobre Pirita alterada,,,,43,Silicatos,image145.png
"Calcita, Calcopirita","Inguapan, Michoacan",,,43,Silicatos,image146.png
"Calcita, Calcopirita","Inguapan, Michoacan",,,43,Silicatos,image147.png
"Calcita, Cuarzo, Fluorita, Galena y Pirita",,,,43,Silicatos,image148.png
"Calcita,Glosularita, Pirita, Vesublandita","Naica, Chihuahua",,,43,Silicatos,image149.png
Calcocita,Sinaloa,,,44,,image150.png
Calcopirita,Zacatecas,,,45,Sulfuros,image151.png
Calcopirita,Zacatecas,,,45,Sulfuros,image152.png
Calcopirita,"Zimapan, Hidalgo",Mena de cobre,,45,Sulfuros,image153.png
Calcopirita,"Sta. Barbara, Chihuahua",,,45,Sulfuros,image154.png
Calcopirita,,,,45,Sulfuros,image155.png
Calcopirita,,Mena de Cobre,,45,Sulfuros,image156.png
Calcopirita,"""La Encantada"", Coahuila",,,45,Sulfuros,image157.png
Calcopirita,"Tepezala, Aguascalientes",Mena de Cobre,,45,Sulfuros,image158.png
Calcopirita Calcita,,"Mena del cobre, Construccion de edificaciones",,45,Sulfuros,image159.png
"Calcopirita, Bornita",,,,45,Sulfuros,image160.png
"Calcopirita, Bornita y Pirita","Totoltepec de Guerrero, Puebla",Aplicación industrial,,45,Sulfuros,image161.png
"Calcopirita, Galena, Pirita, Esfalerita","Sta. Eulalia, Chihuahua",Menas del cobre; Menas del plomo,,45,Sulfuros,image162.png
